Geneid	FimA_del	WT	FimA_over
bssS	9037	10713	1616
dinI	219	144	77
pyrC	491	348	276
yceB	587	363	331
grxB	3627	2741	809
mdtH	1081	696	1166
rimJ	910	1085	514
yceH	1048	1134	401
yceM	1497	1456	535
murJ	1041	673	304
flgN	272	176	64
flgM	169	115	39
flgA	546	308	51
flgB	239	134	12
flgC	275	119	12
flgD	486	280	41
flgE	680	396	80
flgF	403	193	56
flgG	584	292	57
flgH	399	195	40
flgI	714	401	64
flgJ	645	324	88
flgK	786	461	85
flgL	770	449	132
flgO	24	13	0
rne	5927	7533	2876
yceQ	886	1053	425
rluC	726	491	205
yceF	1241	1221	191
sraB	87	83	21
yceD	2253	3304	1326
rpmF	2116	4067	1248
plsX	1162	1107	766
fabH	1483	1618	452
fabD	2118	2233	511
fabG	11624	16355	1487
acpP	13225	16860	2588
fabF	3636	4646	2794
pabC	591	562	133
mltG	894	697	290
tmk	549	491	388
holB	894	585	642
ycfH	4372	4579	901
ptsG	60198	55294	1134
fhuE	1663	960	337
hinT	1265	1411	428
ycfL	1062	1110	332
lpoB	2102	2044	727
thiK	623	448	245
nagZ	1360	891	683
ycfP	2291	1438	651
ndh	1011	526	271
ycfJ	434	323	215
comR	514	343	443
bhsA	236	168	1440
bhsB	25	20	5
ldtC	586	1005	78
mfd	3181	2708	2063
ycfT	755	397	76
lolC	667	481	331
lolD	521	341	364
lolE	1080	952	666
nagK	925	966	776
cobB	689	575	475
ycfZ	340	195	27
ymfA	240	140	19
potD	1378	1939	467
potC	457	424	171
potB	371	225	139
potA	738	520	404
pepT	2413	2821	730
roxA	1345	1477	1863
phoQ	1159	962	1123
phoP	655	776	672
purB	974	692	649
hflD	421	319	742
mnmA	962	743	1380
nudJ	379	278	147
rluE	440	365	161
icd	7869	5919	3049
C0293	59	47	16
ymfD	168	126	29
ymfE	140	127	22
lit	159	141	50
intE	468	397	193
xisE	91	87	47
ymfH	117	75	35
ymfI	237	275	188
ymfJ	195	177	87
ymfK	481	330	215
ymfT	33	29	26
ymfL	198	111	78
ymfM	122	70	11
ymfN	2	3	1
oweE	0	0	0
aaaE	0	0	0
ymfR	74	35	8
beeE	241	127	31
jayE	295	156	28
ymfQ	321	165	17
ycfK	199	101	25
tfaP	78	37	10
tfaE	150	103	32
stfE	113	65	13
pinE	185	80	14
mcrA	224	136	60
icdC	15	23	11
iraM	24	28	5
ymgK	3	12	1
ymgL	23	5	2
ycgX	57	36	20
bluR	1096	753	1272
bluF	572	538	118
ycgZ	349	106	24
ymgA	511	191	40
ariR	1949	991	26
ymgC	457	173	21
pdeG	638	401	81
ymgF	81	49	36
ycgH	1282	986	272
ymgD	426	281	73
ymgG	122	58	19
ymgI	22	21	5
ymgJ	33	23	5
ycgI	360	274	55
minE	791	686	150
minD	2169	1860	654
minC	1478	1236	603
ycgJ	168	171	121
pliG	355	356	165
ymgN	0	0	0
ycgL	501	543	83
ycgM	918	950	136
ycgN	476	441	287
hlyE	270	205	49
umuD	187	146	55
umuC	825	379	108
dsbB	482	444	262
nhaB	1068	711	492
fadR	1332	1360	311
